site,landuse,landform,Depth,Horizon,fractroots,finerootfrac
R7H1,hardwood,interfluve,71,Bt1,0.25,0.4
R7H1,hardwood,interfluve,72,Bt1,0.225,0.888888889
R7H1,hardwood,interfluve,73,Bt1,0.3,0.916666667
R7H1,hardwood,interfluve,74,Bt1,0.325,0.769230769
R7H1,hardwood,interfluve,75,Bt1,0.275,0.727272727
R7H1,hardwood,interfluve,76,Bt1,0.275,0.909090909
R7H1,hardwood,interfluve,77,Bt1,0.175,0.428571429
R7H1,hardwood,interfluve,78,Bt1,0.175,0.714285714
R7H1,hardwood,interfluve,79,Bt2,0.325,0.615384615
R7H1,hardwood,interfluve,80,Bt2,0.05,1
R7H1,hardwood,interfluve,81,Bt2,0.15,0.833333333
R7H1,hardwood,interfluve,82,Bt2,0.1,0.75
R7H1,hardwood,interfluve,83,Bt2,0.1,0.75
R7H1,hardwood,interfluve,84,Bt2,0.125,0.6
R7H1,hardwood,interfluve,85,Bt2,0.175,0.142857143
R7H1,hardwood,interfluve,86,Bt2,0.225,0.444444444
R7H1,hardwood,interfluve,87,Bt2,0.125,0
R7H1,hardwood,interfluve,88,Bt2,0.225,0.444444444
R7H1,hardwood,interfluve,89,Bt2,0.175,0.857142857
R7H1,hardwood,interfluve,90,Bt2,0.15,0.833333333
R7H1,hardwood,interfluve,91,Bt2,0.225,0.222222222
R7H1,hardwood,interfluve,92,Bt2,0.2,0.375
R7H1,hardwood,interfluve,93,Bt2,0.05,0.5
R7H1,hardwood,interfluve,94,Bt2,0.225,0.222222222
R7H1,hardwood,interfluve,95,Bt2,0.15,0
R7H1,hardwood,interfluve,96,Bt2,0.15,0.5
R7H1,hardwood,interfluve,97,Bt2,0.05,0
R7H1,hardwood,interfluve,98,Bt2,0.15,1
R7H1,hardwood,interfluve,99,Bt2,0.125,0.8
R7H1,hardwood,interfluve,100,Bt2,0.125,0.4
R7H1,hardwood,interfluve,101,Bt2,0.075,0
R7H1,hardwood,interfluve,102,Bt2,0.125,0
R7H1,hardwood,interfluve,103,Bt2,0.2,0.625
R7H1,hardwood,interfluve,104,Bt2,0.175,0.428571429
R7H1,hardwood,interfluve,105,Bt2,0.075,0.333333333
R7H1,hardwood,interfluve,106,Bt2,0.175,0.714285714
R7H1,hardwood,interfluve,107,Bt2,0.075,0.666666667
R7H1,hardwood,interfluve,108,Bt2,0.125,0.2
R7H1,hardwood,interfluve,109,Bt2,0.1,0.5
R7H1,hardwood,interfluve,110,Bt2,0.075,0.666666667
R7H1,hardwood,interfluve,111,Bt3,0.075,1
R7H1,hardwood,interfluve,112,Bt3,0.225,0.555555556
R7H1,hardwood,interfluve,113,Bt3,0.15,0.666666667
R7H1,hardwood,interfluve,114,Bt3,0.2,0.75
R7H1,hardwood,interfluve,115,Bt3,0.175,0.714285714
R7H1,hardwood,interfluve,116,Bt3,0.15,0.833333333
R7H1,hardwood,interfluve,117,Bt3,0.15,0.666666667
R7H1,hardwood,interfluve,118,Bt3,0.175,0.142857143
R7H1,hardwood,interfluve,119,Bt3,0.075,0.333333333
R7H1,hardwood,interfluve,120,Bt3,0.1,0.5
R7H1,hardwood,interfluve,121,Bt3,0.125,1
R7H1,hardwood,interfluve,122,Bt3,0.075,1
R7H1,hardwood,interfluve,123,Bt3,0.125,0.6
R7H1,hardwood,interfluve,124,Bt3,0.175,0.428571429
